Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,3.54,78.0,7.8,M,3
The Getaway,PS2,2002.0,Action,3.54,72.0,6.8,M,3
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,3.53,72.0,7.9,T,0
FIFA Soccer 11,X360,2010.0,Sports,3.52,88.0,7.5,E,1
Left 4 Dead,X360,2008.0,Shooter,3.51,89.0,7.9,M,1
Assassin's Creed: Unity,XOne,2014.0,Action,3.5,72.0,4.1,M,3
Resident Evil 5,X360,2009.0,Action,3.5,83.0,7.5,M,3
Assassin's Creed: Brotherhood,X360,2010.0,Action,3.49,89.0,8.3,M,3
Battlefield 4,PS3,2013.0,Shooter,3.49,80.0,5.8,M,1
Batman: Arkham Asylum,X360,2009.0,Action,3.48,92.0,8.7,T,3
Battlefield 4,X360,2013.0,Shooter,3.48,79.0,5.6,M,1
Battlefield: Bad Company 2,X360,2010.0,Shooter,3.47,88.0,8.6,M,1
Guitar Hero: On Tour,DS,2008.0,Misc,3.46,71.0,8.8,E10+,0
Clubhouse Games,DS,2006.0,Misc,3.45,83.0,8.4,E,0
Borderlands,X360,2009.0,Shooter,3.44,84.0,8.2,M,1
Tekken 4,PS2,2002.0,Fighting,3.44,79.0,8.3,T,3
Grand Theft Auto 2,PS,1998.0,Action,3.42,70.0,8.0,T,0
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,3.41,93.0,8.2,M,3
Spider-Man 2,PS2,2004.0,Action,3.41,80.0,8.9,T,3
FIFA Soccer 2003,PS2,2002.0,Sports,3.4,88.0,6.7,E,0
LittleBigPlanet 2,PS3,2011.0,Platform,3.39,91.0,8.4,E,1
Crash Bash,PS,2000.0,Misc,3.39,68.0,8.2,E,0
Assassin's Creed Syndicate,PS4,2015.0,Action,3.39,76.0,6.8,M,3
LEGO Batman: The Videogame,X360,2008.0,Action,3.38,76.0,7.9,E10+,3
Destiny,XOne,2014.0,Shooter,3.37,75.0,5.5,T,1
Far Cry 3,PS3,2012.0,Shooter,3.35,90.0,8.5,M,1
James Bond 007: Nightfire,PS2,2002.0,Shooter,3.33,77.0,8.5,T,0
Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,3.32,60.0,7.2,T,3
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,3.31,87.0,7.8,E10+,0
Max Payne,PS2,2001.0,Shooter,3.31,80.0,8.5,M,0
Assassin's Creed IV: Black Flag,X360,2013.0,Action,3.3,86.0,7.9,M,3
